freq,syl,let,word,imag,conc,meaning,list,id
100,1,3,lip,6.57,6.93,5.32,1,1
19,3,7,nursery,6.1,6.45,7.4,1,2
20,1,3,ink,6.37,6.87,6.96,1,3
50,3,8,evidence,3.23,3.45,6.2,1,4
1,2,9,limelight,4.83,3.06,4.72,1,5
30,2,5,angle,5.5,5.19,6.24,1,6
100,1,4,king,6.27,6.34,7.5,1,7
2,3,9,vestibule,5.43,6.73,6,1,8
27,2,5,maker,3.57,4.46,5,1,9
2,4,10,theologian,4.47,5.88,6.36,1,10
8,4,9,violation,3.57,2.92,5.92,1,11
2,2,9,sheepskin,6.13,6.83,6.44,1,12
50,2,7,disease,4.87,5.63,7.44,1,13
21,1,6,cradle,6.23,6.94,6.96,1,14
3,3,10,rendezvous,5.2,4,6.04,1,15
26,2,8,conquest,4.03,3.11,5.81,1,16
3,4,8,immunity,3.43,2.46,5.76,1,17
15,2,6,hamlet,5.87,6.19,6.56,1,18
2,3,9,obsession,3.87,1.65,4.16,1,19
2,2,9,horsehair,5.67,6.8,6.2,1,20
100,1,4,rock,6.37,6.96,5.96,1,21
19,2,9,landscape,6.43,6.2,7.12,1,22
42,1,6,priest,6.53,6.59,6.88,1,23
44,1,3,rod,5.97,6.62,6.04,1,24
100,2,6,heaven,4.13,2.75,6.52,1,25
1,3,9,charlatan,3.43,5.28,3.19,1,26
4,4,7,malaria,4.83,5.66,6.64,1,27
27,1,3,inn,6.07,6.8,6.61,1,28
1,4,10,exactitude,2.23,1.69,3,1,29
19,2,6,vigour,4.43,2.6,5.72,1,30
7,3,8,anecdote,3.77,4.87,5.84,1,31
1,3,7,arbiter,2.33,4.63,3.71,1,32
8,2,7,spinach,6.47,6.9,7.08,1,33
28,3,10,profession,3.83,3.65,5.44,1,34
1,2,7,cowhide,5.4,6.89,6.39,1,35
19,4,9,emergency,5.03,3.25,6.28,1,36
4,3,8,ensemble,4.63,5.45,4.8,1,37
23,2,5,drama,4.9,3.66,7,1,38
100,1,4,bird,6.67,6.96,7.88,1,39
7,2,6,garret,4.13,6.14,4.12,1,40
100,1,5,blood,6.7,6.82,6.56,1,41
17,3,8,reminder,2.83,3.48,5.2,1,42
16,2,5,cigar,6.8,6.96,6.22,1,43
2,2,6,upkeep,3.07,2.5,4.76,1,44
50,1,3,fun,5.23,2.45,5.5,1,45
9,1,3,nun,6.67,6.76,6.6,1,46
1,2,7,buffoon,4.33,4.63,4.5,1,47
50,3,8,occasion,2.53,3.22,5,1,48
6,2,7,blister,6.53,6.67,7.13,1,49
40,1,4,tool,5.77,6.8,6.88,1,50
100,1,5,truth,2.73,1.69,4.78,1,51
21,2,8,moisture,5.2,6.24,6.72,1,52
50,4,9,situation,2.53,2.76,4.84,1,53
50,2,6,coffee,6.73,6.89,7.28,1,54
19,1,4,tank,6.23,6.87,6.48,1,55
9,3,7,robbery,5,4.75,6.16,1,56
19,2,5,panic,5.33,2.18,6.72,1,57
50,1,5,crime,4.43,3.81,6.84,1,58
29,3,10,substitute,3.13,4.56,4.48,1,59
22,2,8,research,4.13,3.22,6.92,1,60
27,1,4,chin,6.43,6.96,5.28,1,61
8,2,7,reptile,6,6.65,6.52,1,62
4,4,11,ingratitude,2.93,1.77,4,1,63
1,2,7,bagpipe,6.43,6.96,7,1,64
27,2,6,kettle,6.23,7,7.44,1,65
6,2,7,phantom,5.03,2.5,5,1,66
36,2,6,victim,5.07,5.49,5.36,1,67
13,2,7,hearing,3.77,3.57,6.64,1,68
32,2,6,barrel,6.57,6.94,6.16,1,69
8,2,7,essence,2.33,1.66,3.28,1,70
11,1,4,dell,3.37,5.58,4.56,1,71
35,1,5,bloom,5.63,5.82,5.12,1,72
100,4,8,material,5.07,6.1,5.92,1,73
50,2,5,apple,6.73,7,7.67,1,74
4,1,5,wench,5.3,6.2,5.08,1,75
19,4,10,decoration,5.37,5.67,5.84,1,76
6,1,5,chasm,4.47,5.25,6.04,1,77
20,1,5,toast,6.57,6.93,7.84,1,78
50,1,5,flood,6.33,6.62,6.36,1,79
35,3,8,elephant,6.83,7,6.88,1,80
100,2,6,circle,6.23,6,4.88,1,81
1,4,9,infirmary,5.63,6.43,6.65,1,82
2,2,6,reflex,4.73,4.08,5.88,1,83
1,2,6,mirage,4.97,3.5,5.63,1,84
36,3,7,tobacco,6.27,6.87,7.84,1,85
100,2,6,amount,2.73,3.62,5.84,1,86
19,1,4,dove,6.53,6.9,6.36,1,87
4,3,8,vocation,3.8,3.26,6.12,1,88
28,3,7,gallery,5.97,6.49,5.88,1,89
22,3,9,ignorance,3.57,1.75,4,1,90
22,1,4,lark,6.2,6.83,5.84,1,91
26,2,4,item,3.67,5.27,4.96,1,92
9,2,8,daybreak,6.43,5.73,7.68,1,93
45,2,6,vision,4.73,4,6.39,1,94
20,1,4,monk,6.4,6.63,5.92,1,95
29,1,6,breeze,5.87,5.94,7.33,1,96
50,1,5,shame,4.1,1.7,5.16,1,97
50,3,8,attitude,2.77,1.83,5.6,1,98
9,3,10,discretion,2.27,1.34,4.2,1,99
45,1,5,grief,4.7,1.86,6.32,1,100
50,4,11,development,3.07,2.82,6.04,1,101
1,4,8,allegory,2.13,2.56,4.48,1,102
24,1,5,thorn,6.33,6.87,6.44,1,103
26,1,4,mast,6.43,6.96,7.12,1,104
46,2,7,cottage,6.5,6.9,7.76,1,105
100,2,7,trouble,3.53,2.25,5.08,1,106
50,3,9,furniture,6.17,6.83,6.6,1,107
1,1,5,slush,6.27,6.65,6.8,1,108
100,1,5,death,5,2.97,7.12,1,109
3,3,7,algebra,5.17,4.85,6.72,1,110
100,1,4,door,6.6,7,7.96,1,111
50,2,7,freedom,3.83,1.98,6.36,1,112
100,1,4,hope,3.83,1.18,5.52,1,113
22,3,9,butterfly,6.63,6.93,7.8,1,114
14,1,5,brute,5.17,5.44,6.08,1,115
19,5,13,determination,3.57,1.66,4.64,1,116
14,3,7,volcano,6.63,6.83,7.6,1,117
50,2,5,moral,3.17,1.39,6.44,1,118
19,1,5,plank,6.3,6.96,6.2,1,119
8,4,8,velocity,3.97,3.32,5.72,1,120
3,3,9,deduction,2.67,2.94,5.08,1,121
26,1,5,geese,6.53,6.83,7.48,1,122
26,1,4,hoof,6.37,6.9,6.32,1,123
100,1,5,storm,6.43,6.45,7.21,1,124
19,2,7,session,3.67,3.62,5.4,1,125
37,4,8,capacity,3.4,2.41,5.44,1,126
7,2,6,satire,3.37,2.33,5.64,1,127
11,4,12,refrigerator,6.67,7,7.36,1,128
8,2,8,basement,6.03,6.83,6.83,1,129
100,3,9,direction,3.83,3.19,6.78,1,130
8,3,8,mosquito,6.53,6.96,7.84,1,131
1,5,10,originator,3.3,5.43,4.48,1,132
1,2,8,offshoot,3.67,4.2,5.46,1,133
1,3,11,comradeship,4.4,2.75,5.21,1,134
1,2,5,proxy,2.7,3.72,4.84,1,135
32,1,4,joke,4.27,3.8,5.92,1,136
100,1,4,camp,6.57,6.56,7.17,1,137
21,2,7,sulphur,6.03,6.72,6.25,1,138
1,4,13,misconception,2.3,1.79,3.96,1,139
14,2,6,sultan,5.57,6.52,7.24,1,140
50,1,3,lad,6.33,6.58,5.76,1,141
18,3,8,musician,6.13,6.53,6.52,1,142
8,2,6,deceit,3.3,1.66,4.92,1,143
29,2,7,harness,5.1,6.93,6.2,1,144
37,2,5,arrow,6.57,7,6.8,1,145
19,3,9,socialist,3.13,4.69,4.54,1,146
50,1,4,nail,6.5,6.96,6.08,1,147
21,4,11,recognition,3.6,2,5.04,1,148
1,3,11,replacement,2.7,3.73,5.4,1,149
1,2,5,rosin,4.2,5.88,4.56,1,150
12,4,10,proprietor,5.1,6.45,5.72,1,151
100,2,6,honour,3.5,1.75,5.08,1,152
50,1,5,style,3.83,3.18,5.84,1,153
4,1,4,serf,5.5,6.03,6.75,1,154
30,2,6,genius,4.27,2.76,5.5,1,155
27,3,10,procession,5.7,5.9,5.63,1,156
19,2,6,mantle,6.27,6.76,5.92,1,157
4,3,9,honeycomb,6.23,6.5,5.78,1,158
100,2,7,college,6.2,6.38,7.28,1,159
19,2,10,blacksmith,6.17,6.83,7.44,1,160
100,2,7,meeting,5.2,4.8,5,1,161
3,1,3,pep,4.6,2.73,6.04,1,162
100,1,6,square,6.37,5.7,5.44,1,163
20,3,9,sensation,3.67,1.99,5.16,1,164
21,2,7,circuit,4.97,5.63,6.38,1,165
7,4,10,habitation,4.6,6.03,5.26,1,166
48,2,8,pressure,4.1,3.63,5.8,1,167
25,2,10,background,4.03,4.1,5.88,1,168
20,2,7,monarch,6.2,6.4,6.92,1,169
23,4,11,legislation,3.33,4,5.92,1,170
27,2,6,pepper,6.27,6.96,6.52,1,171
100,3,8,position,2.97,3.31,6.24,1,172
100,1,5,world,5.97,5.9,6.88,1,173
1,2,8,frontage,4.57,5.46,5.36,1,174
8,1,4,bard,4.9,5.03,4.8,1,175
23,2,6,beaver,6.5,6.96,8.19,1,176
28,1,5,snake,6.9,7,6.88,1,177
7,4,10,rheumatism,4.5,5.39,6.48,1,178
100,2,6,market,6.13,6.08,7.04,1,179
50,1,4,coin,6.5,6.9,7.09,1,180
5,4,9,adversity,2.8,2.73,5.06,1,181
28,2,7,lecture,5.57,4.5,5.72,1,182
7,1,4,gore,4.67,4.79,5.5,1,183
100,1,4,hall,6.37,6.72,6.16,1,184
100,1,6,chance,2.5,1.51,5.61,1,185
3,4,9,antitoxin,3.6,6.03,5.67,1,186
50,3,8,property,4.87,5.99,5.76,1,187
100,1,6,church,6.63,6.59,7.52,1,188
50,1,3,fur,6.23,6.69,7.36,1,189
28,5,11,examination,6.07,5.14,7,1,190
1,2,5,mucus,5.53,6.16,6.38,1,191
100,1,4,cost,3.57,3.41,6.24,1,192
27,2,5,odour,5.13,5.83,5.76,1,193
7,3,9,athletics,5.7,4.6,6.92,1,194
100,2,6,flower,6.57,6.96,7.13,1,195
50,2,5,owner,4.23,5.9,5.71,1,196
100,1,5,shore,6.63,6.69,8.13,1,197
7,3,7,abdomen,6,6.83,4.75,1,198
1,2,6,gadfly,3.77,5.87,3.28,1,199
1,2,7,juggler,6.1,6.45,5.84,1,200
19,2,7,builder,5.7,6.05,5.56,1,201
50,2,6,engine,6.33,6.76,6.08,1,202
6,1,4,pelt,5.4,6.2,6.76,1,203
10,3,8,illusion,3.53,2.03,4.67,1,204
50,3,10,expression,3.57,2.48,6.13,1,205
2,2,9,headlight,6.43,6.9,6.32,1,206
1,3,10,peacemaker,4.03,4.97,5.08,1,207
5,1,4,stub,4.97,6.2,5.24,1,208
1,3,8,domicile,4.2,4.89,4.96,1,209
5,2,9,nightfall,6.17,5.73,6.52,1,210
5,3,9,comforter,5.03,5.06,6.19,1,211
100,1,5,child,6.5,6.87,7.04,1,212
100,1,6,friend,6.37,4.89,6.4,1,213
7,3,9,magnitude,2.5,3.03,5.68,1,214
7,3,8,lemonade,6.5,6.93,7.13,1,215
19,2,5,jelly,6.4,6.73,6,1,216
3,3,8,daffodil,6.47,7,6.96,1,217
2,3,7,fallacy,2.3,1.89,3.72,1,218
50,2,7,justice,3.6,2.18,6.6,1,219
24,3,10,tablespoon,6.33,6.9,5.63,1,220
3,2,9,labyrinth,4.83,6.16,4.8,1,221
2,2,7,missile,6.33,6.8,6.48,1,222
47,2,6,meadow,6.43,6.69,8,1,223
100,1,6,speech,4.33,4.87,5.36,1,224
1,5,11,elaboration,2.63,2.18,4.36,1,225
100,1,4,mind,3.03,2.6,5.88,1,226
23,1,4,claw,6.33,6.89,6.67,1,227
27,1,5,sauce,5.8,6.76,5.88,1,228
13,3,7,vehicle,6.23,6.45,7.08,1,229
1,2,7,preview,4.03,4.14,4.12,1,230
1,2,6,belfry,4.43,5.96,6.25,1,231
2,2,6,tripod,6.23,6.82,5.76,1,232
8,2,7,glacier,6.07,6.93,7.21,1,233
50,2,7,passion,5.3,1.66,5.68,1,234
4,3,6,ritual,4.7,3.7,5.12,1,235
21,3,9,institute,4.6,5.84,4.92,1,236
4,2,9,franchise,2.9,3.57,4.84,1,237
20,2,6,singer,6.17,6.35,6.64,1,238
4,4,10,hypothesis,2.4,2.25,5.36,1,239
2,3,8,jeopardy,3.03,2,3.48,1,240
27,3,10,management,3.9,3.69,5.68,1,241
