timestamps,,,,,Marker
1490136954.654,-93.634,115.036,147.066,-63.763,0
1490136954.654,-73.246,132.641,216.308,258.509,0
1490136954.655,-194.318,20.324,103.337,-107.002,0
1490136954.655,-150.664,61.649,102.484,-193.704,0
1490136954.669,-63.518,133.887,216.729,213.408,0
1490136954.669,-178.984,50.591,141.176,61.475,0
1490136954.684,-172.389,26.443,85.223,-257.561,0
1490136954.684,-72.584,140.194,192.739,95.584,0
1490136954.685,-108.296,87.753,191.819,190.497,0
1490136954.685,-192.059,27.230,85.184,-208.363,0
1490136954.699,-89.457,115.243,158.016,-58.342,0
1490136954.699,-74.001,123.443,228.919,257.587,0
1490136954.714,-198.177,12.177,82.124,-102.445,0
1490136954.714,-121.515,92.306,124.395,-194.230,0
1490136954.715,-70.392,133.425,215.220,217.292,0
1490136954.715,-172.230,43.170,148.799,60.123,0
1490136954.729,-188.756,47.278,89.264,-254.336,0
1490136954.729,-67.006,161.612,202.876,100.145,0
1490136954.744,-114.536,92.319,193.396,195.716,0
1490136954.744,-203.452,10.842,79.026,-220.059,0
1490136954.745,-89.743,130.031,156.070,-62.559,0
1490136954.745,-90.199,124.795,219.893,256.931,0
1490136954.760,-193.682,8.536,103.952,-102.862,0
1490136954.760,-140.057,70.897,109.889,-190.806,0
1490136954.774,-69.345,139.208,219.235,217.709,0
1490136954.774,-159.080,44.757,144.474,51.007,0
1490136954.775,-180.940,40.434,83.667,-255.130,0
1490136954.775,-58.614,153.153,207.505,102.817,0
1490136954.789,-116.784,93.213,181.666,190.830,0
1490136954.789,-194.503,24.063,93.621,-212.484,0
1490136954.804,-98.834,114.102,152.380,-64.106,0
1490136954.804,-78.659,129.733,212.636,249.330,0
1490136954.805,-200.677,20.315,103.505,-104.225,0
1490136954.805,-141.940,93.948,105.516,-188.811,0
1490136954.819,-78.237,139.382,212.976,214.812,0
1490136954.819,-151.393,32.582,154.080,59.962,0
1490136954.834,-171.203,48.654,71.742,-257.563,0
1490136954.834,-68.795,142.980,191.305,103.578,0
1490136954.835,-107.563,79.118,196.708,183.494,0
1490136954.835,-212.688,7.009,86.130,-224.147,0
1490136954.849,-106.742,119.978,149.287,-53.479,0
1490136954.849,-67.352,124.344,217.329,256.748,0
1490136954.864,-190.514,13.879,103.674,-104.194,0
1490136954.864,-127.596,87.119,112.659,-190.989,0
1490136954.865,-57.953,145.980,214.842,217.432,0
1490136954.865,-174.036,44.265,144.076,48.512,0
1490136954.879,-179.003,39.071,69.113,-253.343,0
1490136954.879,-57.637,151.576,201.713,111.322,0
1490136954.894,-109.140,99.741,199.900,193.744,0
1490136954.894,-200.393,15.066,81.909,-222.062,0
1490136954.895,-92.117,125.062,156.017,-54.244,0
1490136954.895,-97.267,135.121,212.757,249.457,0
1490136954.909,-189.314,17.766,99.984,-113.010,0
1490136954.909,-136.239,75.430,111.905,-190.748,0
1490136954.924,-47.568,135.940,218.767,223.422,0
1490136954.924,-167.237,41.859,139.620,43.764,0
1490136954.925,-182.073,41.010,75.286,-254.844,0
1490136954.925,-61.931,153.441,203.118,107.513,0
1490136954.939,-107.352,102.301,193.274,192.814,0
1490136954.939,-206.904,14.683,80.883,-225.535,0
1490136954.940,-91.727,138.126,154.912,-49.791,0
1490136954.954,-62.969,125.414,218.616,247.679,0
1490136954.954,-206.760,2.364,75.329,-111.561,0
1490136954.969,-138.378,78.106,115.954,-200.279,0
1490136954.969,-56.880,153.257,223.006,221.845,0
1490136954.970,-174.938,29.459,137.202,47.547,0
1490136954.970,-171.495,37.128,81.470,-250.313,0
1490136954.984,-72.476,144.147,201.994,102.316,0
1490136954.984,-116.401,87.461,198.901,189.690,0
1490136954.999,-195.791,17.147,84.123,-221.797,0
1490136954.999,-102.240,109.259,155.524,-56.368,0
1490136955.000,-86.960,128.406,220.809,257.647,0
1490136955.000,-198.058,19.732,96.293,-105.863,0
1490136955.014,-125.457,79.852,122.014,-181.499,0
1490136955.014,-42.358,137.849,221.890,230.109,0
1490136955.029,-165.412,48.836,148.842,51.472,0
1490136955.029,-173.154,38.308,81.053,-251.164,0
1490136955.036,-77.362,143.730,195.081,108.014,0
1490136955.036,-112.079,94.075,189.957,188.270,0
1490136955.044,-204.522,5.844,83.183,-225.411,0
1490136955.044,-86.908,120.354,138.445,-53.460,0
