timestamps,,,,,Marker
1490134514.792,13.866,16.730,17.138,-68.337,0
1490134514.792,15.779,12.635,14.599,-69.145,0
1490134514.807,15.472,16.871,13.249,-72.145,0
1490134514.807,13.120,18.428,19.653,-69.730,0
1490134514.807,10.446,14.864,13.183,-74.267,0
1490134514.807,22.206,17.151,17.303,-69.414,0
1490134514.822,15.635,12.327,14.543,-68.059,0
1490134514.822,10.489,14.333,13.697,-70.321,0
1490134514.822,17.617,17.837,13.236,-67.271,0
1490134514.837,16.255,18.344,12.413,-67.866,0
1490134514.837,11.771,14.234,13.585,-68.139,0
1490134514.852,14.043,16.940,13.688,-71.266,0
1490134514.852,20.085,14.079,13.673,-70.056,0
1490134514.852,10.919,18.052,13.613,-67.118,0
1490134514.852,17.851,19.135,14.573,-64.790,0
1490134514.867,13.250,17.677,13.593,-70.463,0
1490134514.867,11.530,15.107,15.023,-69.998,0
1490134514.882,18.148,15.036,17.572,-75.933,0
1490134514.882,14.632,16.070,12.557,-67.314,0
1490134514.882,9.094,17.374,10.388,-71.036,0
1490134514.882,19.889,13.671,13.206,-71.675,0
1490134514.897,14.859,21.762,16.360,-71.498,0
1490134514.897,14.518,15.595,14.120,-71.943,0
1490134514.912,15.470,14.844,17.305,-66.750,0
1490134514.912,15.749,17.501,17.834,-73.328,0
1490134514.912,13.598,11.622,12.478,-71.973,0
1490134514.912,16.510,20.038,18.064,-72.077,0
1490134514.927,11.465,11.814,12.742,-70.463,0
1490134514.927,13.531,12.239,17.007,-67.720,0
1490134514.942,16.850,16.108,15.810,-64.487,0
1490134514.942,11.057,16.615,12.123,-67.038,0
1490134514.942,10.788,10.851,15.715,-72.360,0
1490134514.942,15.801,18.853,20.627,-67.477,0
1490134514.957,16.828,11.758,12.740,-71.397,0
1490134514.957,14.490,15.339,11.539,-66.768,0
1490134514.972,12.415,18.516,13.550,-64.777,0
1490134514.972,14.212,16.721,14.561,-73.382,0
1490134514.980,10.823,15.266,13.761,-68.223,0
1490134514.980,17.097,17.879,15.741,-68.421,0
1490134514.987,11.663,19.223,13.557,-68.459,0
1490134514.987,13.217,17.114,12.562,-70.692,0
1490134515.002,13.127,13.684,14.281,-74.536,0
1490134515.002,11.781,17.228,13.308,-68.723,0
1490134515.002,6.298,15.579,8.985,-73.057,0
1490134515.002,18.238,14.565,18.168,-65.482,0
1490134515.017,10.627,17.346,14.780,-67.808,0
1490134515.017,16.171,12.308,17.942,-70.740,0
1490134515.032,18.997,11.893,12.658,-61.598,0
1490134515.032,15.459,19.655,15.498,-71.004,0
1490134515.032,9.441,14.273,11.803,-72.156,0
1490134515.032,16.616,16.485,18.642,-71.148,0
1490134515.047,15.857,15.827,13.851,-70.671,0
1490134515.047,15.539,11.590,14.451,-69.547,0
1490134515.062,15.210,15.552,15.665,-67.672,0
1490134515.062,11.878,10.653,15.380,-70.910,0
1490134515.062,12.104,12.420,13.017,-72.459,0
1490134515.062,15.958,21.009,14.604,-71.066,0
1490134515.077,15.726,17.594,13.737,-64.822,0
1490134515.077,11.605,13.985,15.392,-68.315,0
1490134515.092,15.100,15.629,15.853,-71.030,0
1490134515.092,16.680,22.744,16.502,-71.565,0
1490134515.092,9.656,15.347,11.225,-71.193,0
1490134515.092,16.255,18.232,15.666,-68.737,0
1490134515.107,14.827,14.156,12.977,-71.935,0
1490134515.107,13.170,12.996,13.638,-68.560,0
1490134515.122,13.789,15.822,17.892,-68.090,0
1490134515.122,14.606,14.546,15.723,-70.368,0
1490134515.123,11.468,16.145,12.974,-74.647,0
1490134515.123,13.269,20.253,14.726,-71.840,0
1490134515.137,13.282,12.878,12.688,-70.185,0
1490134515.137,14.616,15.150,11.857,-67.516,0
1490134515.152,15.107,14.642,15.285,-71.009,0
1490134515.152,12.976,17.119,20.190,-62.241,0
1490134515.152,13.127,15.994,11.723,-69.340,0
1490134515.152,14.786,20.001,16.919,-67.472,0
1490134515.167,15.371,18.460,15.468,-68.429,0
1490134515.167,16.136,16.164,12.828,-74.978,0
1490134515.182,14.412,16.487,18.836,-71.385,0
1490134515.182,15.008,19.459,16.072,-72.002,0
1490134515.182,11.227,14.709,8.899,-69.241,0
1490134515.182,16.779,15.504,16.736,-65.349,0
1490134515.197,14.617,15.752,15.917,-66.464,0
1490134515.197,12.968,11.137,14.234,-67.092,0
1490134515.212,14.645,15.680,16.132,-72.231,0
1490134515.212,17.486,16.553,15.818,-69.499,0
1490134515.227,8.260,15.951,12.052,-68.461,0
1490134515.227,18.198,16.813,15.072,-66.065,0
1490134515.227,14.518,15.680,11.728,-68.380,0
1490134515.227,13.396,17.215,15.721,-70.849,0
1490134515.242,15.298,13.351,17.417,-69.527,0
1490134515.242,13.656,19.603,14.111,-67.146,0
1490134515.242,13.260,16.839,15.010,-74.024,0
1490134515.242,14.847,16.158,17.828,-66.396,0
1490134515.257,13.228,13.985,10.247,-66.039,0
1490134515.257,14.890,11.917,10.552,-69.207,0
1490134515.272,14.086,16.123,16.586,-68.401,0
1490134515.272,19.201,12.484,12.192,-70.761,0
1490134515.272,14.567,12.991,15.279,-77.205,0
1490134515.272,15.717,16.216,16.512,-67.288,0
1490134515.293,12.340,20.302,16.437,-69.764,0
1490134515.293,12.089,15.549,15.506,-76.257,0
1490134515.302,15.928,17.443,14.941,-64.223,0
1490134515.302,10.719,20.717,15.242,-67.773,0
1490134515.302,13.286,12.613,11.996,-70.054,0
1490134515.302,17.548,18.382,19.556,-69.390,0
1490134515.332,14.414,18.600,14.298,-70.864,0
1490134515.332,11.122,10.799,14.591,-72.917,0
1490134515.332,13.914,13.583,12.119,-71.834,0
1490134515.332,18.153,15.938,10.956,-70.804,0
1490134515.333,9.735,11.663,16.964,-70.731,0
1490134515.333,15.620,15.958,16.097,-66.873,0
