timestamps,,,,,Marker
1490137043.361,-194.978,7.568,70.596,-247.589,0
1490137043.361,-88.636,127.332,198.929,57.940,0
1490137043.376,-113.581,79.664,206.347,223.751,0
1490137043.376,-214.536,0.449,95.066,-184.687,0
1490137043.377,-119.780,88.942,147.201,-107.894,0
1490137043.391,-81.365,138.356,245.117,269.852,0
1490137043.391,-209.741,-11.827,106.999,-71.140,0
1490137043.391,-166.147,46.382,98.625,-226.758,0
1490137043.391,-65.194,140.177,222.447,183.306,0
1490137043.406,-151.847,48.168,170.470,100.826,0
1490137043.406,-191.790,15.324,83.091,-257.176,0
1490137043.420,-80.380,130.728,182.361,53.458,0
1490137043.421,-108.294,100.779,200.644,216.621,0
1490137043.421,-193.867,10.681,85.272,-193.302,0
1490137043.421,-115.294,101.095,145.819,-111.827,0
1490137043.436,-74.276,137.527,221.755,248.391,0
1490137043.436,-206.762,-1.126,115.340,-59.059,0
1490137043.451,-152.513,62.896,106.185,-220.458,0
1490137043.451,-67.025,142.808,223.833,188.921,0
1490137043.451,-154.172,47.074,152.524,113.431,0
1490137043.451,-188.889,19.657,89.271,-258.476,0
1490137043.466,-88.752,123.321,190.381,56.231,0
1490137043.466,-115.395,96.312,205.171,222.561,0
1490137043.481,-209.808,2.680,93.288,-187.462,0
1490137043.481,-117.315,84.518,140.147,-101.140,0
1490137043.481,-80.494,126.556,225.744,258.315,0
1490137043.481,-198.929,-0.757,123.705,-58.331,0
1490137043.496,-157.156,36.359,102.144,-225.430,0
1490137043.496,-65.617,127.847,212.619,186.705,0
1490137043.511,-159.596,41.014,165.571,110.325,0
1490137043.511,-197.018,13.862,80.825,-259.925,0
1490137043.511,-82.740,133.182,187.530,55.725,0
1490137043.511,-108.635,88.905,207.873,226.045,0
1490137043.526,-221.539,9.653,96.626,-187.199,0
1490137043.526,-103.221,94.763,141.963,-102.956,0
1490137043.541,-80.286,111.730,222.694,256.869,0
1490137043.541,-189.095,6.369,85.945,-56.699,0
1490137043.541,-147.274,61.759,100.813,-221.082,0
1490137043.541,-70.218,131.098,215.899,188.667,0
1490137043.556,-156.999,47.168,162.710,99.971,0
1490137043.556,-181.690,7.289,86.812,-251.534,0
1490137043.571,-76.369,129.208,186.011,60.618,0
1490137043.571,-127.800,92.807,205.779,224.757,0
1490137043.571,-224.458,7.182,92.187,-198.312,0
1490137043.571,-106.828,108.416,144.211,-107.064,0
1490137043.592,-72.745,127.992,226.004,255.895,0
1490137043.592,-181.206,2.029,107.494,-68.638,0
1490137043.601,-152.141,68.534,101.170,-223.033,0
1490137043.601,-71.324,121.818,217.097,185.041,0
1490137043.601,-166.343,39.951,165.053,108.724,0
1490137043.601,-189.979,16.330,85.042,-257.262,0
1490137043.616,-92.325,113.577,172.381,57.123,0
1490137043.616,-115.920,111.000,207.325,218.715,0
